"N_EFF_Scenario","Rt","CFR_Crisis","VSL","Economic_Loss_BUSD"
5e+06,2.7,0.7,1,1151.27777777778
5e+06,2.7,0.7,3,3453.83333333333
5e+06,2.7,0.7,5,5756.38888888889
5e+06,2.7,0.75,1,1227.30555555556
5e+06,2.7,0.75,3,3681.91666666667
5e+06,2.7,0.75,5,6136.52777777778
5e+06,2.7,0.8,1,1303.33333333333
5e+06,2.7,0.8,3,3910
5e+06,2.7,0.8,5,6516.66666666667
5e+06,2.7,0.85,1,1379.36111111111
5e+06,2.7,0.85,3,4138.08333333333
5e+06,2.7,0.85,5,6896.80555555556
5e+06,3.1,0.5,1,911.467741935484
5e+06,3.1,0.5,3,2734.40322580645
5e+06,3.1,0.5,5,4557.33870967742
5e+06,3.1,0.55,1,993.266129032258
5e+06,3.1,0.55,3,2979.79838709678
5e+06,3.1,0.55,5,4966.33064516129
5e+06,3.1,0.6,1,1075.06451612903
5e+06,3.1,0.6,3,3225.1935483871
5e+06,3.1,0.6,5,5375.32258064516
5e+06,3.1,0.65,1,1156.86290322581
5e+06,3.1,0.65,3,3470.58870967742
5e+06,3.1,0.65,5,5784.31451612903
5e+06,3.1,0.7,1,1238.66129032258
